aalib1 1.4p5-22
libxt6 4.3.0.dfsg.1-4
libxtrap6 4.3.0.dfsg.1-4
libxtst6 4.3.0.dfsg.1-4
libxv1 4.3.0.dfsg.1-4
libzvt2.0-0 2.0.1cvs200210
liferea 0.5.3b-2
liferea-gtkhtm 0.5.3b-2
links 0.99-1.2
linux-kernel-h 2.5.999-test7-
localepurge 0.0.71
locales 2.3.2.ds1-16
login 4.0.3-30.1
logrotate 3.7-2
lrzsz 0.12.21-4
lshw 01.03-1
lsof 4.71-1
lynx 2.8.5-1
m4 1.4.1-1
mad 2.0-3
make 3.80-9
makedev 2.3.1-75
man-db 2.4.2-19
manpages 1.67-2
manpages-es 1.28-13
manpages-es-ex 0.8a-12
mc 4.6.0-4.6.1-pr
menu 2.1.17
menu-xdg 0.1.1
meta-back 0.1-5
meta-guadaline 1.0-1
metacity 2.8.1-4
mime-support 3.28-1
minicom 2.1-7
mkisofs 2.0+a34-2
modconf 0.2.46
module-init-to 3.1-pre5-7
modutils 2.4.26-1
mount 2.12-7
mozilla 1.6-5
mozilla-bonobo 0.4.1-3
mozilla-browse 1.6-5
mozilla-ctxext 3.1.2004033001
mozilla-diggle 0.6-3
mozilla-firefo 0.8-12
mozilla-firefo 0.8-5
mozilla-locale 1.6
mozilla-mailne 1.6-5
mozilla-psm 1.6-5
mozilla-tabext 1.10.200404040
mozilla-xft 1.6-5
mpg321 0.2.10.3
mtools 3.9.9-2
multisync 0.82-2
myspell-es 1.7-25
mysql-common 4.0.21-1
nautilus 2.6.3b-3
nautilus-cd-bu 2.6.1-4
nautilus-data 2.6.3b-3
ncurses-base 5.4-4
ncurses-bin 5.4-4
ncurses-term 5.4-4
ndiswrapper 0.8-1
ndiswrapper-mo 0.8-1
net-tools 1.60-10
netbase 4.18
netcat 1.10-23
netkit-inetd 0.10-9
netkit-ping 0.10-9
netpbm 10.0-7
netspeed 0.10-2
nmap 3.55-1
ntfstools 1.9.0-1
numlockx 1.0-7
nvi 1.79-21
oaf 0.6.10-3
ooqstart-gnome 0.8.3-8
openoffice.org 1.1.2-3
openoffice.org 1.1.2-3
openoffice.org 1.1.2-3+2
openoffice.org 1.1+20030814-2
openoffice.org 1.1.2-3
openoffice.org 1.1.2-3
openssl 0.9.7d-4
pan 0.14.2.91-2
parted 1.6.9-3.2
parted-doc 1.6.9-3.2
passwd 4.0.3-30.1
patch 2.5.9-2
pciutils 2.1.11-15
pcmcia-cs 3.2.5-8
pconf-detect 0.5-6
pdftk 1.00-1
perl 5.8.4-2.2
perl-base 5.8.4-2.2
perl-modules 5.8.4-2.2
pingus 0.6.0-8
pingus-data 0.6.0-8
pkg-config 0.15.0-4
planner 0.12-3
plib1c102 1.6.0-4
powermgmt-base 1.21
ppp 2.4.2+20040428
pppconfig 2.3.6
procps 3.2.1-2
psmisc 21.5-1
python 2.3.4-1
python-glade2 2.2.0-3
python-gnome2 2.0.3-1
python-gtk2 2.2.0-3
python-newt 0.51.6-5
python-numeric 23.3-5
python-pythonc 0.7.3.1-1
python-tk 2.3.4-1
python2.3 2.3.4-5
python2.3-dbus 0.22-1.0.1
python2.3-glad 2.2.0-3
python2.3-gnom 2.0.3-1
python2.3-gtk2 2.2.0-3
python2.3-icon 1.1.2-1
python2.3-libb 0.4.1-1
python2.3-nume 23.3-5
python2.3-pyor 2.0.0-4
python2.3-pyth 0.7.3.1-1
python2.3-tk 2.3.4-5
qc-usb-modules 0.6.0-5+test1.
qcad 2.0.3.3-1-1
qcad-partlibra 2.0.1.2-1-1
qtparted 0.4.4-2
rar 3.30-2
rdesktop 1.3.1-1
recode 3.6-10
rekall 2.2.0-beta4-2
rekall-xbase 2.0.0-1
reportbug 2.63
rhythmbox 0.8.5-3
rp-pppoe 3.5-4
samba 3.0.6-3
samba-common 3.0.6-3
sane-utils 1.0.14-7
scribus 1.2.0.cvs20040
scrollkeeper 0.3.14-9
sed 4.1.2-1
setserial 2.17-36
sgml-base 1.26
sgml-data 2.0.2
shared-mime-in 0.15-1
sharutils 4.2.1-11
shellutils 5.2.1-2
sl-modem-modul 2.9.8-1
slang1 1.4.9dbs-6
slang1a-utf8 1.4.9dbs-6
slib 3a1-4
smbclient 3.0.6-3
smbfs 3.0.6-3
soundtracker 0.6.7-4
sox 12.17.5-3
splashutils 0.1-1
ssh 3.8.1p1-8
strace 4.5.5-1
sudo 1.6.7p5-2
supertux 0.1.2-1
supertux-data 0.1.2-1
svgalibg1 1.4.3-17
svncviewer 0.1.1-5
symlinks 1.2-4.1
synaptic 0.53.3-2
sysklogd 1.4.1-15
syslinux 2.10-1
sysv-rc 2.86-1
sysvinit 2.86-1
tar 1.13.93-4
tasksel 2.12
tcl8.3 8.3.5-4
tcl8.4 8.4.7-1
tcltls 1.5.0-1
tcpd 7.6.dbs-6
tcpdump 3.8.3-3
tcptraceroute 1.4-5
tcsh 6.13.00-1
telnet 0.17-24
texinfo 4.7-2.1
textutils 5.2.1-2
time 1.7-19
timidity 2.13.0-rc1-CVS
timidity-patch 0.1-5
tk8.4 8.4.7-1
tkpppoe 3.5-4
totem 0.99.9-5
traceroute 1.4a12-16
trackballs 1.0.0-3
trackballs-dat 1.0.0-3
ttf-bitstream- 1.10-3
ttf-dustin 20030517-1
ttf-freefont 20031008-1.1
ttf-isabella 1.01-6
